initial acc is 0.5220522880554199.
bit pos is 0, acc decrease is 0.004169583320617676.
bit pos is 1, acc decrease is 0.0037294626235961914.
bit pos is 2, acc decrease is 0.0010716915130615234.
bit pos is 3, acc decrease is 0.0002410411834716797.
bit pos is 4, acc decrease is 0.006485581398010254.
bit pos is 5, acc decrease is 0.00436246395111084.
bit pos is 6, acc decrease is 0.000770270824432373.
bit pos is 7, acc decrease is -4.4405460357666016e-05.
bit pos is 8, acc decrease is 0.0033902525901794434.
bit pos is 9, acc decrease is 0.00010287761688232422.
bit pos is 10, acc decrease is 1.5079975128173828e-05.
bit pos is 11, acc decrease is 0.00013953447341918945.
bit pos is 12, acc decrease is 0.00011235475540161133.
bit pos is 13, acc decrease is 3.886222839355469e-05.
bit pos is 14, acc decrease is 3.8504600524902344e-05.
bit pos is 15, acc decrease is 0.0005246996879577637.
bit pos is 16, acc decrease is 0.00019979476928710938.
bit pos is 17, acc decrease is 0.00040078163146972656.
bit pos is 18, acc decrease is 0.00020366907119750977.
bit pos is 19, acc decrease is 0.0002766251564025879.
bit pos is 20, acc decrease is 0.0004636049270629883.
bit pos is 21, acc decrease is 0.002553224563598633.
bit pos is 22, acc decrease is 0.0016654729843139648.
bit pos is 23, acc decrease is 0.0013591647148132324.
bit pos is 24, acc decrease is 0.0010799765586853027.
bit pos is 25, acc decrease is 0.000914454460144043.
bit pos is 26, acc decrease is 0.0027039051055908203.
bit pos is 27, acc decrease is 0.005386829376220703.
bit pos is 28, acc decrease is 0.0036829113960266113.
bit pos is 29, acc decrease is 0.0022438764572143555.
bit pos is 30, acc decrease is 0.0038817524909973145.
bit pos is 31, acc decrease is 0.005262017250061035.
bit pos is 32, acc decrease is 2.682209014892578e-06.
bit pos is 33, acc decrease is 6.496906280517578e-06.
bit pos is 34, acc decrease is 1.5497207641601562e-06.
bit pos is 35, acc decrease is 9.5367431640625e-07.
bit pos is 36, acc decrease is 5.185604095458984e-06.
bit pos is 37, acc decrease is 6.4373016357421875e-06.
bit pos is 38, acc decrease is -1.1920928955078125e-06.
bit pos is 39, acc decrease is 4.827976226806641e-06.
bit pos is 40, acc decrease is -9.953975677490234e-06.
bit pos is 41, acc decrease is -1.0371208190917969e-05.
bit pos is 42, acc decrease is 7.748603820800781e-07.
bit pos is 43, acc decrease is 1.1920928955078125e-06.
bit pos is 44, acc decrease is -2.384185791015625e-06.
bit pos is 45, acc decrease is 1.3709068298339844e-06.
bit pos is 46, acc decrease is 3.039836883544922e-06.
bit pos is 47, acc decrease is -7.748603820800781e-07.
bit pos is 48, acc decrease is 3.5762786865234375e-07.
bit pos is 49, acc decrease is -4.76837158203125e-06.
bit pos is 50, acc decrease is -1.8477439880371094e-06.
bit pos is 51, acc decrease is 2.562999725341797e-06.
bit pos is 52, acc decrease is 1.1324882507324219e-06.
bit pos is 53, acc decrease is -2.4437904357910156e-06.
bit pos is 54, acc decrease is 4.470348358154297e-06.
bit pos is 55, acc decrease is 3.2186508178710938e-06.
bit pos is 56, acc decrease is 1.1324882507324219e-06.
bit pos is 57, acc decrease is -5.125999450683594e-06.
bit pos is 58, acc decrease is 5.364418029785156e-07.
bit pos is 59, acc decrease is -4.76837158203125e-06.
bit pos is 60, acc decrease is -1.9073486328125e-06.
bit pos is 61, acc decrease is -1.6093254089355469e-06.
bit pos is 62, acc decrease is -4.708766937255859e-06.
bit pos is 63, acc decrease is 1.7881393432617188e-06.
bit pos is 64, acc decrease is 0.0013530850410461426.
bit pos is 65, acc decrease is -1.8894672393798828e-05.
bit pos is 66, acc decrease is 0.003876924514770508.
bit pos is 67, acc decrease is 0.0018638968467712402.
bit pos is 68, acc decrease is 0.00031757354736328125.
bit pos is 69, acc decrease is -2.3543834686279297e-05.
bit pos is 70, acc decrease is 0.004153132438659668.
bit pos is 71, acc decrease is 0.001604914665222168.
bit pos is 72, acc decrease is 6.854534149169922e-06.
bit pos is 73, acc decrease is -3.0875205993652344e-05.
bit pos is 74, acc decrease is 0.0001252889633178711.
bit pos is 75, acc decrease is 1.9609928131103516e-05.
bit pos is 76, acc decrease is -3.039836883544922e-06.
bit pos is 77, acc decrease is 4.476308822631836e-05.
bit pos is 78, acc decrease is 1.2874603271484375e-05.
bit pos is 79, acc decrease is 1.6689300537109375e-06.
bit pos is 80, acc decrease is -9.47713851928711e-06.
bit pos is 81, acc decrease is 9.399652481079102e-05.
bit pos is 82, acc decrease is -6.794929504394531e-06.
bit pos is 83, acc decrease is 0.00027561187744140625.
bit pos is 84, acc decrease is 9.161233901977539e-05.
bit pos is 85, acc decrease is 6.383657455444336e-05.
bit pos is 86, acc decrease is 0.00012797117233276367.
bit pos is 87, acc decrease is 0.0011423826217651367.
bit pos is 88, acc decrease is 0.00038248300552368164.
bit pos is 89, acc decrease is 0.0006843209266662598.
bit pos is 90, acc decrease is 0.0002409219741821289.
bit pos is 91, acc decrease is 0.000604093074798584.
bit pos is 92, acc decrease is 0.0010719895362854004.
bit pos is 93, acc decrease is 0.004262685775756836.
bit pos is 94, acc decrease is 0.0023044943809509277.
bit pos is 95, acc decrease is 0.0012986063957214355.
