initial acc is 0.827538013458252.
bit pos is 0, acc decrease is 1.1444091796875e-05.
bit pos is 1, acc decrease is 2.384185791015625e-06.
bit pos is 2, acc decrease is -1.2159347534179688e-05.
bit pos is 3, acc decrease is -7.152557373046875e-07.
bit pos is 4, acc decrease is 3.218650817871094e-05.
bit pos is 5, acc decrease is 2.384185791015625e-05.
bit pos is 6, acc decrease is -5.9604644775390625e-06.
bit pos is 7, acc decrease is -3.0279159545898438e-05.
bit pos is 8, acc decrease is 1.9073486328125e-06.
bit pos is 9, acc decrease is -3.0994415283203125e-06.
bit pos is 10, acc decrease is 8.273124694824219e-05.
bit pos is 11, acc decrease is 4.57763671875e-05.
bit pos is 12, acc decrease is 0.0003619194030761719.
bit pos is 13, acc decrease is 0.0017192363739013672.
bit pos is 14, acc decrease is 0.005826711654663086.
bit pos is 15, acc decrease is 0.017121076583862305.
bit pos is 16, acc decrease is 0.0355830192565918.
bit pos is 17, acc decrease is 0.04939556121826172.
bit pos is 18, acc decrease is 0.05090737342834473.
bit pos is 19, acc decrease is 0.044808149337768555.
bit pos is 20, acc decrease is 0.028752803802490234.
bit pos is 21, acc decrease is 2.002716064453125e-05.
bit pos is 22, acc decrease is 5.412101745605469e-05.
bit pos is 23, acc decrease is 0.00030732154846191406.
bit pos is 24, acc decrease is 0.0014450550079345703.
bit pos is 25, acc decrease is 0.003960847854614258.
bit pos is 26, acc decrease is 0.009639739990234375.
bit pos is 27, acc decrease is 0.01728057861328125.
bit pos is 28, acc decrease is 0.013344287872314453.
bit pos is 29, acc decrease is -3.886222839355469e-05.
bit pos is 30, acc decrease is 7.152557373046875e-06.
bit pos is 31, acc decrease is -1.7642974853515625e-05.
bit pos is 32, acc decrease is -9.298324584960938e-06.
bit pos is 33, acc decrease is 2.384185791015625e-05.
bit pos is 34, acc decrease is -1.0728836059570312e-05.
bit pos is 35, acc decrease is 5.7220458984375e-06.
bit pos is 36, acc decrease is 6.67572021484375e-06.
bit pos is 37, acc decrease is 5.7220458984375e-06.
bit pos is 38, acc decrease is 1.7642974853515625e-05.
bit pos is 39, acc decrease is 6.580352783203125e-05.
bit pos is 40, acc decrease is -5.9604644775390625e-06.
bit pos is 41, acc decrease is 4.8160552978515625e-05.
bit pos is 42, acc decrease is -3.504753112792969e-05.
bit pos is 43, acc decrease is -2.86102294921875e-06.
bit pos is 44, acc decrease is 1.2636184692382812e-05.
bit pos is 45, acc decrease is 1.4781951904296875e-05.
bit pos is 46, acc decrease is -4.0531158447265625e-06.
bit pos is 47, acc decrease is -9.5367431640625e-07.
bit pos is 48, acc decrease is 5.7220458984375e-06.
bit pos is 49, acc decrease is -3.4332275390625e-05.
bit pos is 50, acc decrease is -8.344650268554688e-06.
bit pos is 51, acc decrease is -3.790855407714844e-05.
bit pos is 52, acc decrease is 9.298324584960938e-06.
bit pos is 53, acc decrease is 1.0251998901367188e-05.
bit pos is 54, acc decrease is 9.775161743164062e-06.
bit pos is 55, acc decrease is -2.09808349609375e-05.
bit pos is 56, acc decrease is -2.5510787963867188e-05.
bit pos is 57, acc decrease is -3.838539123535156e-05.
bit pos is 58, acc decrease is -5.0067901611328125e-05.
bit pos is 59, acc decrease is 7.3909759521484375e-06.
bit pos is 60, acc decrease is -4.363059997558594e-05.
bit pos is 61, acc decrease is 0.0.
bit pos is 62, acc decrease is 1.049041748046875e-05.
bit pos is 63, acc decrease is 2.7418136596679688e-05.
bit pos is 64, acc decrease is 2.384185791015625e-07.
bit pos is 65, acc decrease is 2.86102294921875e-05.
bit pos is 66, acc decrease is -4.00543212890625e-05.
bit pos is 67, acc decrease is -1.0967254638671875e-05.
bit pos is 68, acc decrease is 2.4318695068359375e-05.
bit pos is 69, acc decrease is -4.76837158203125e-05.
bit pos is 70, acc decrease is -2.5510787963867188e-05.
bit pos is 71, acc decrease is -2.2172927856445312e-05.
bit pos is 72, acc decrease is -1.1205673217773438e-05.
bit pos is 73, acc decrease is -1.2159347534179688e-05.
bit pos is 74, acc decrease is 3.123283386230469e-05.
bit pos is 75, acc decrease is 0.00010943412780761719.
bit pos is 76, acc decrease is 0.00018644332885742188.
bit pos is 77, acc decrease is 0.0009138584136962891.
bit pos is 78, acc decrease is 0.0033752918243408203.
bit pos is 79, acc decrease is 0.010441780090332031.
bit pos is 80, acc decrease is 0.03489828109741211.
bit pos is 81, acc decrease is 0.08060741424560547.
bit pos is 82, acc decrease is 0.11404585838317871.
bit pos is 83, acc decrease is 0.12085556983947754.
bit pos is 84, acc decrease is 0.1068425178527832.
bit pos is 85, acc decrease is 0.0823671817779541.
bit pos is 86, acc decrease is 8.225440979003906e-05.
bit pos is 87, acc decrease is 0.0018494129180908203.
bit pos is 88, acc decrease is 0.02075362205505371.
bit pos is 89, acc decrease is 0.0661015510559082.
bit pos is 90, acc decrease is 0.13961315155029297.
bit pos is 91, acc decrease is 0.1308426856994629.
bit pos is 92, acc decrease is 0.13363099098205566.
bit pos is 93, acc decrease is 0.1123960018157959.
bit pos is 94, acc decrease is -4.76837158203125e-07.
bit pos is 95, acc decrease is -2.574920654296875e-05.
bit pos is 96, acc decrease is 6.318092346191406e-05.
bit pos is 97, acc decrease is 0.0009317398071289062.
bit pos is 98, acc decrease is 0.004184722900390625.
bit pos is 99, acc decrease is 0.014824151992797852.
bit pos is 100, acc decrease is 0.04283905029296875.
bit pos is 101, acc decrease is 0.0440671443939209.
bit pos is 102, acc decrease is -3.838539123535156e-05.
bit pos is 103, acc decrease is 2.86102294921875e-06.
bit pos is 104, acc decrease is 2.5272369384765625e-05.
bit pos is 105, acc decrease is -2.5987625122070312e-05.
bit pos is 106, acc decrease is -1.6689300537109375e-06.
bit pos is 107, acc decrease is -3.24249267578125e-05.
