initial acc is 0.6548151969909668.
bit pos is 0, acc decrease is 2.384185791015625e-07.
bit pos is 1, acc decrease is 9.131431579589844e-05.
bit pos is 2, acc decrease is 5.2928924560546875e-05.
bit pos is 3, acc decrease is 7.414817810058594e-05.
bit pos is 4, acc decrease is 0.00030350685119628906.
bit pos is 5, acc decrease is 0.0003330707550048828.
bit pos is 6, acc decrease is 0.00019049644470214844.
bit pos is 7, acc decrease is 0.0003414154052734375.
bit pos is 8, acc decrease is 0.0004787445068359375.
bit pos is 9, acc decrease is 6.961822509765625e-05.
bit pos is 10, acc decrease is 0.0003428459167480469.
bit pos is 11, acc decrease is 0.0009064674377441406.
bit pos is 12, acc decrease is 0.002851724624633789.
bit pos is 13, acc decrease is 0.00974893569946289.
bit pos is 14, acc decrease is 0.018467426300048828.
bit pos is 15, acc decrease is 0.027208328247070312.
bit pos is 16, acc decrease is 0.03224515914916992.
bit pos is 17, acc decrease is 0.021783113479614258.
bit pos is 18, acc decrease is -4.124641418457031e-05.
bit pos is 19, acc decrease is -3.314018249511719e-05.
bit pos is 20, acc decrease is -2.7179718017578125e-05.
bit pos is 21, acc decrease is 0.00012803077697753906.
bit pos is 22, acc decrease is 0.0003204345703125.
bit pos is 23, acc decrease is 0.0008730888366699219.
bit pos is 24, acc decrease is 0.003288745880126953.
bit pos is 25, acc decrease is 0.0034852027893066406.
bit pos is 26, acc decrease is -3.0994415283203125e-05.
bit pos is 27, acc decrease is -6.67572021484375e-06.
bit pos is 28, acc decrease is -8.821487426757812e-06.
bit pos is 29, acc decrease is -4.6253204345703125e-05.
bit pos is 30, acc decrease is 4.8160552978515625e-05.
bit pos is 31, acc decrease is 4.553794860839844e-05.
bit pos is 32, acc decrease is 9.5367431640625e-06.
bit pos is 33, acc decrease is 2.574920654296875e-05.
bit pos is 34, acc decrease is -2.1696090698242188e-05.
bit pos is 35, acc decrease is 1.52587890625e-05.
bit pos is 36, acc decrease is -1.8596649169921875e-05.
bit pos is 37, acc decrease is -2.956390380859375e-05.
bit pos is 38, acc decrease is -4.76837158203125e-06.
bit pos is 39, acc decrease is 6.67572021484375e-06.
bit pos is 40, acc decrease is 2.6464462280273438e-05.
bit pos is 41, acc decrease is 1.4781951904296875e-05.
bit pos is 42, acc decrease is 2.6941299438476562e-05.
bit pos is 43, acc decrease is -4.76837158203125e-07.
bit pos is 44, acc decrease is 7.867813110351562e-06.
bit pos is 45, acc decrease is 1.049041748046875e-05.
bit pos is 46, acc decrease is -5.364418029785156e-05.
bit pos is 47, acc decrease is -2.002716064453125e-05.
bit pos is 48, acc decrease is 2.1457672119140625e-06.
bit pos is 49, acc decrease is -6.747245788574219e-05.
bit pos is 50, acc decrease is -2.002716064453125e-05.
bit pos is 51, acc decrease is -5.4836273193359375e-06.
bit pos is 52, acc decrease is -2.4080276489257812e-05.
bit pos is 53, acc decrease is -6.9141387939453125e-06.
bit pos is 54, acc decrease is 5.8650970458984375e-05.
bit pos is 55, acc decrease is -6.4373016357421875e-06.
bit pos is 56, acc decrease is -2.86102294921875e-06.
bit pos is 57, acc decrease is -2.7179718017578125e-05.
bit pos is 58, acc decrease is -2.956390380859375e-05.
bit pos is 59, acc decrease is 1.239776611328125e-05.
bit pos is 60, acc decrease is -3.62396240234375e-05.
bit pos is 61, acc decrease is -4.76837158203125e-07.
bit pos is 62, acc decrease is 2.1696090698242188e-05.
bit pos is 63, acc decrease is 3.123283386230469e-05.
bit pos is 64, acc decrease is 6.198883056640625e-06.
bit pos is 65, acc decrease is 5.340576171875e-05.
bit pos is 66, acc decrease is 5.14984130859375e-05.
bit pos is 67, acc decrease is 3.552436828613281e-05.
bit pos is 68, acc decrease is 0.00021648406982421875.
bit pos is 69, acc decrease is 0.0004401206970214844.
bit pos is 70, acc decrease is 0.0008766651153564453.
bit pos is 71, acc decrease is 0.00021266937255859375.
bit pos is 72, acc decrease is 0.0005893707275390625.
bit pos is 73, acc decrease is 0.001371145248413086.
bit pos is 74, acc decrease is 0.0001499652862548828.
bit pos is 75, acc decrease is 0.0007245540618896484.
bit pos is 76, acc decrease is 0.0018107891082763672.
bit pos is 77, acc decrease is 0.005879402160644531.
bit pos is 78, acc decrease is 0.019440889358520508.
bit pos is 79, acc decrease is 0.04374885559082031.
bit pos is 80, acc decrease is 0.05614471435546875.
bit pos is 81, acc decrease is 0.07099628448486328.
bit pos is 82, acc decrease is 0.05905938148498535.
bit pos is 83, acc decrease is 3.337860107421875e-06.
bit pos is 84, acc decrease is -1.049041748046875e-05.
bit pos is 85, acc decrease is 0.0005881786346435547.
bit pos is 86, acc decrease is 0.0074803829193115234.
bit pos is 87, acc decrease is 0.03188800811767578.
bit pos is 88, acc decrease is 0.0509340763092041.
bit pos is 89, acc decrease is 0.07636713981628418.
bit pos is 90, acc decrease is 0.06920695304870605.
bit pos is 91, acc decrease is -3.838539123535156e-05.
bit pos is 92, acc decrease is 5.435943603515625e-05.
bit pos is 93, acc decrease is -8.821487426757812e-06.
bit pos is 94, acc decrease is -5.7220458984375e-06.
bit pos is 95, acc decrease is -4.696846008300781e-05.
bit pos is 96, acc decrease is 0.0007033348083496094.
bit pos is 97, acc decrease is 0.005956172943115234.
bit pos is 98, acc decrease is 0.011481761932373047.
bit pos is 99, acc decrease is 1.1682510375976562e-05.
bit pos is 100, acc decrease is -9.5367431640625e-07.
bit pos is 101, acc decrease is -3.528594970703125e-05.
bit pos is 102, acc decrease is 2.6226043701171875e-05.
