initial acc is 0.7553995251655579.
bit pos is 0, acc decrease is 0.03336954116821289.
bit pos is 1, acc decrease is 0.019759416580200195.
bit pos is 2, acc decrease is 0.0250890851020813.
bit pos is 3, acc decrease is 0.003639698028564453.
bit pos is 4, acc decrease is 0.0036203861236572266.
bit pos is 5, acc decrease is 0.0008035898208618164.
bit pos is 6, acc decrease is 0.0027979612350463867.
bit pos is 7, acc decrease is 0.008809030055999756.
bit pos is 8, acc decrease is 0.028858840465545654.
bit pos is 9, acc decrease is 0.04355436563491821.
bit pos is 10, acc decrease is 0.04230231046676636.
bit pos is 11, acc decrease is 0.032671988010406494.
bit pos is 12, acc decrease is 2.390146255493164e-05.
bit pos is 13, acc decrease is 7.301568984985352e-05.
bit pos is 14, acc decrease is 6.181001663208008e-05.
bit pos is 15, acc decrease is 1.6808509826660156e-05.
bit pos is 16, acc decrease is 0.021007418632507324.
bit pos is 17, acc decrease is 0.06627005338668823.
bit pos is 18, acc decrease is 0.12151634693145752.
bit pos is 19, acc decrease is 0.11451029777526855.
bit pos is 20, acc decrease is 0.007821202278137207.
bit pos is 21, acc decrease is 0.011816024780273438.
bit pos is 22, acc decrease is 0.0016303658485412598.
bit pos is 23, acc decrease is 0.007765710353851318.
bit pos is 24, acc decrease is 0.028724312782287598.
bit pos is 25, acc decrease is 0.09522241353988647.
bit pos is 26, acc decrease is 0.12223505973815918.
bit pos is 27, acc decrease is 0.08976459503173828.
bit pos is 28, acc decrease is 0.08377939462661743.
bit pos is 29, acc decrease is 6.955862045288086e-05.
bit pos is 30, acc decrease is 0.00015991926193237305.
bit pos is 31, acc decrease is 0.0005225539207458496.
bit pos is 32, acc decrease is 1.3589859008789062e-05.
bit pos is 33, acc decrease is -4.76837158203125e-07.
bit pos is 34, acc decrease is -3.933906555175781e-06.
bit pos is 35, acc decrease is -1.3768672943115234e-05.
bit pos is 36, acc decrease is -1.7285346984863281e-06.
bit pos is 37, acc decrease is -1.0967254638671875e-05.
bit pos is 38, acc decrease is -2.8014183044433594e-06.
bit pos is 39, acc decrease is -3.337860107421875e-06.
bit pos is 40, acc decrease is -4.827976226806641e-06.
bit pos is 41, acc decrease is -1.7881393432617188e-07.
bit pos is 42, acc decrease is 0.007647991180419922.
bit pos is 43, acc decrease is -5.185604095458984e-06.
bit pos is 44, acc decrease is 4.887580871582031e-06.
bit pos is 45, acc decrease is 2.2649765014648438e-06.
bit pos is 46, acc decrease is -7.331371307373047e-06.
bit pos is 47, acc decrease is -8.940696716308594e-07.
bit pos is 48, acc decrease is 0.018057167530059814.
bit pos is 49, acc decrease is 0.0372086763381958.
bit pos is 50, acc decrease is 0.06452667713165283.
bit pos is 51, acc decrease is 0.0639488697052002.
bit pos is 52, acc decrease is 0.0077928900718688965.
bit pos is 53, acc decrease is 0.011408984661102295.
bit pos is 54, acc decrease is 0.00025832653045654297.
bit pos is 55, acc decrease is 0.0019244551658630371.
bit pos is 56, acc decrease is 0.010155677795410156.
bit pos is 57, acc decrease is 0.048546791076660156.
bit pos is 58, acc decrease is 0.08775454759597778.
bit pos is 59, acc decrease is 0.08579272031784058.
bit pos is 60, acc decrease is 0.07657337188720703.
bit pos is 61, acc decrease is 2.9861927032470703e-05.
bit pos is 62, acc decrease is 0.00014162063598632812.
bit pos is 63, acc decrease is 0.00018799304962158203.
