Test diff index is (23, 31), num rounds is 7.
initial acc is 0.5944750308990479.
bit pos is 0, acc decrease is 0.0011081695556640625.
bit pos is 1, acc decrease is 0.0018439292907714844.
bit pos is 2, acc decrease is 0.0020182132720947266.
bit pos is 3, acc decrease is 0.0017046928405761719.
bit pos is 4, acc decrease is 0.0010275840759277344.
bit pos is 5, acc decrease is 4.482269287109375e-05.
bit pos is 6, acc decrease is 0.00019884109497070312.
bit pos is 7, acc decrease is 0.000606536865234375.
bit pos is 8, acc decrease is 0.0018837451934814453.
bit pos is 9, acc decrease is 0.005200862884521484.
bit pos is 10, acc decrease is 0.014011383056640625.
bit pos is 11, acc decrease is 0.023921966552734375.
bit pos is 12, acc decrease is 0.018730640411376953.
bit pos is 13, acc decrease is 0.0001609325408935547.
bit pos is 14, acc decrease is 0.0006761550903320312.
bit pos is 15, acc decrease is 0.0007474422454833984.
bit pos is 16, acc decrease is 0.00016546249389648438.
bit pos is 17, acc decrease is 0.0005381107330322266.
bit pos is 18, acc decrease is 0.0006091594696044922.
bit pos is 19, acc decrease is -4.7206878662109375e-05.
bit pos is 20, acc decrease is 5.14984130859375e-05.
bit pos is 21, acc decrease is 5.412101745605469e-05.
bit pos is 22, acc decrease is -8.821487426757812e-06.
bit pos is 23, acc decrease is 1.2874603271484375e-05.
bit pos is 24, acc decrease is 0.005688905715942383.
bit pos is 25, acc decrease is 0.0042705535888671875.
bit pos is 26, acc decrease is 0.0046138763427734375.
bit pos is 27, acc decrease is 0.006361484527587891.
bit pos is 28, acc decrease is 0.0036194324493408203.
bit pos is 29, acc decrease is 0.003147125244140625.
bit pos is 30, acc decrease is 6.29425048828125e-05.
bit pos is 31, acc decrease is 0.00040841102600097656.
bit pos is 32, acc decrease is 0.004377603530883789.
bit pos is 33, acc decrease is 0.0034575462341308594.
bit pos is 34, acc decrease is 0.012529850006103516.
bit pos is 35, acc decrease is 0.030612468719482422.
bit pos is 36, acc decrease is 0.05181765556335449.
bit pos is 37, acc decrease is 0.05223274230957031.
bit pos is 38, acc decrease is 0.00036835670471191406.
bit pos is 39, acc decrease is 0.0012204647064208984.
bit pos is 40, acc decrease is 0.002335071563720703.
bit pos is 41, acc decrease is 0.00027823448181152344.
bit pos is 42, acc decrease is 0.0025634765625.
bit pos is 43, acc decrease is 0.0163266658782959.
bit pos is 44, acc decrease is 0.046476125717163086.
bit pos is 45, acc decrease is 0.05027651786804199.
bit pos is 46, acc decrease is 4.9591064453125e-05.
bit pos is 47, acc decrease is 5.745887756347656e-05.
bit pos is 48, acc decrease is 2.1457672119140625e-06.
bit pos is 49, acc decrease is -5.7220458984375e-06.
bit pos is 50, acc decrease is -5.4836273193359375e-06.
bit pos is 51, acc decrease is -4.76837158203125e-06.
bit pos is 52, acc decrease is 9.5367431640625e-07.
bit pos is 53, acc decrease is 1.430511474609375e-06.
bit pos is 54, acc decrease is -2.1457672119140625e-06.
bit pos is 55, acc decrease is 6.198883056640625e-06.
bit pos is 56, acc decrease is -4.76837158203125e-07.
bit pos is 57, acc decrease is 1.4781951904296875e-05.
bit pos is 58, acc decrease is 1.5497207641601562e-05.
bit pos is 59, acc decrease is 5.9604644775390625e-06.
bit pos is 60, acc decrease is -5.0067901611328125e-06.
bit pos is 61, acc decrease is 1.8358230590820312e-05.
bit pos is 62, acc decrease is 7.3909759521484375e-06.
bit pos is 63, acc decrease is 5.9604644775390625e-06.
bit pos is 64, acc decrease is -5.245208740234375e-06.
bit pos is 65, acc decrease is 5.7220458984375e-06.
bit pos is 66, acc decrease is 1.0967254638671875e-05.
bit pos is 67, acc decrease is 3.814697265625e-06.
bit pos is 68, acc decrease is -4.76837158203125e-07.
bit pos is 69, acc decrease is 1.5735626220703125e-05.
bit pos is 70, acc decrease is -6.198883056640625e-06.
bit pos is 71, acc decrease is -2.384185791015625e-07.
bit pos is 72, acc decrease is 0.005784511566162109.
bit pos is 73, acc decrease is 0.003939151763916016.
bit pos is 74, acc decrease is 0.0046062469482421875.
bit pos is 75, acc decrease is 0.004239082336425781.
bit pos is 76, acc decrease is 0.003686189651489258.
bit pos is 77, acc decrease is 0.0031206607818603516.
bit pos is 78, acc decrease is 1.8596649169921875e-05.
bit pos is 79, acc decrease is 0.00017499923706054688.
bit pos is 80, acc decrease is 0.00047397613525390625.
bit pos is 81, acc decrease is 0.0013301372528076172.
bit pos is 82, acc decrease is 0.005816221237182617.
bit pos is 83, acc decrease is 0.019212007522583008.
bit pos is 84, acc decrease is 0.04914569854736328.
bit pos is 85, acc decrease is 0.049518585205078125.
bit pos is 86, acc decrease is 0.0001366138458251953.
bit pos is 87, acc decrease is 0.0011072158813476562.
bit pos is 88, acc decrease is 0.0021996498107910156.
bit pos is 89, acc decrease is 3.9577484130859375e-05.
bit pos is 90, acc decrease is 0.0008149147033691406.
bit pos is 91, acc decrease is 0.001589059829711914.
bit pos is 92, acc decrease is 1.239776611328125e-05.
bit pos is 93, acc decrease is 2.2649765014648438e-05.
bit pos is 94, acc decrease is 5.435943603515625e-05.
bit pos is 95, acc decrease is 9.441375732421875e-05.
