initial acc is 0.7189960479736328.
bit pos is 0, acc decrease is 5.054473876953125e-05.
bit pos is 1, acc decrease is 0.0007715225219726562.
bit pos is 2, acc decrease is 0.0007886886596679688.
bit pos is 3, acc decrease is 3.528594970703125e-05.
bit pos is 4, acc decrease is 0.000247955322265625.
bit pos is 5, acc decrease is 0.000530242919921875.
bit pos is 6, acc decrease is 0.0016918182373046875.
bit pos is 7, acc decrease is 0.0047779083251953125.
bit pos is 8, acc decrease is 0.013564109802246094.
bit pos is 9, acc decrease is 0.027873992919921875.
bit pos is 10, acc decrease is 0.03569793701171875.
bit pos is 11, acc decrease is 0.0381011962890625.
bit pos is 12, acc decrease is 0.025885581970214844.
bit pos is 13, acc decrease is 2.09808349609375e-05.
bit pos is 14, acc decrease is 0.000152587890625.
bit pos is 15, acc decrease is 0.0002651214599609375.
bit pos is 16, acc decrease is 0.0002994537353515625.
bit pos is 17, acc decrease is 0.0010442733764648438.
bit pos is 18, acc decrease is 0.002773284912109375.
bit pos is 19, acc decrease is 0.007701873779296875.
bit pos is 20, acc decrease is 0.008078575134277344.
bit pos is 21, acc decrease is 0.0001010894775390625.
bit pos is 22, acc decrease is 0.00012493133544921875.
bit pos is 23, acc decrease is 2.574920654296875e-05.
bit pos is 24, acc decrease is 4.291534423828125e-05.
bit pos is 25, acc decrease is -2.765655517578125e-05.
bit pos is 26, acc decrease is 9.1552734375e-05.
bit pos is 27, acc decrease is 6.198883056640625e-05.
bit pos is 28, acc decrease is 0.00011348724365234375.
bit pos is 29, acc decrease is 0.0001049041748046875.
bit pos is 30, acc decrease is 9.250640869140625e-05.
bit pos is 31, acc decrease is 6.29425048828125e-05.
bit pos is 32, acc decrease is 0.004302978515625.
bit pos is 33, acc decrease is 0.0005197525024414062.
bit pos is 34, acc decrease is 0.0011644363403320312.
bit pos is 35, acc decrease is 0.0020656585693359375.
bit pos is 36, acc decrease is 7.724761962890625e-05.
bit pos is 37, acc decrease is 0.000278472900390625.
bit pos is 38, acc decrease is 0.0010251998901367188.
bit pos is 39, acc decrease is 0.0034122467041015625.
bit pos is 40, acc decrease is 0.012150764465332031.
bit pos is 41, acc decrease is 0.026427268981933594.
bit pos is 42, acc decrease is 0.06387042999267578.
bit pos is 43, acc decrease is 0.08655643463134766.
bit pos is 44, acc decrease is 0.08633136749267578.
bit pos is 45, acc decrease is 0.07116317749023438.
bit pos is 46, acc decrease is 0.00010395050048828125.
bit pos is 47, acc decrease is 0.0002613067626953125.
bit pos is 48, acc decrease is 0.0007009506225585938.
bit pos is 49, acc decrease is 0.00725555419921875.
bit pos is 50, acc decrease is 0.0444793701171875.
bit pos is 51, acc decrease is 0.08094501495361328.
bit pos is 52, acc decrease is 0.09826850891113281.
bit pos is 53, acc decrease is 0.09029960632324219.
bit pos is 54, acc decrease is 4.291534423828125e-05.
bit pos is 55, acc decrease is -1.9073486328125e-05.
