initial acc is 0.5355278849601746.
bit pos is 0, acc decrease is -7.152557373046875e-07.
bit pos is 1, acc decrease is 0.0001208186149597168.
bit pos is 2, acc decrease is 0.00015920400619506836.
bit pos is 3, acc decrease is -3.427267074584961e-05.
bit pos is 4, acc decrease is 7.867813110351562e-06.
bit pos is 5, acc decrease is -3.6656856536865234e-05.
bit pos is 6, acc decrease is -1.4126300811767578e-05.
bit pos is 7, acc decrease is -1.6629695892333984e-05.
bit pos is 8, acc decrease is 0.00022232532501220703.
bit pos is 9, acc decrease is 0.0010309219360351562.
bit pos is 10, acc decrease is 0.004544198513031006.
bit pos is 11, acc decrease is 0.010964691638946533.
bit pos is 12, acc decrease is 0.011257946491241455.
bit pos is 13, acc decrease is -1.4781951904296875e-05.
bit pos is 14, acc decrease is -5.793571472167969e-05.
bit pos is 15, acc decrease is -1.722574234008789e-05.
bit pos is 16, acc decrease is 1.6689300537109375e-06.
bit pos is 17, acc decrease is -1.5020370483398438e-05.
bit pos is 18, acc decrease is 1.2993812561035156e-05.
bit pos is 19, acc decrease is -1.901388168334961e-05.
bit pos is 20, acc decrease is -7.933378219604492e-05.
bit pos is 21, acc decrease is 1.2516975402832031e-05.
bit pos is 22, acc decrease is 5.185604095458984e-06.
bit pos is 23, acc decrease is 9.298324584960938e-06.
bit pos is 24, acc decrease is -4.45246696472168e-05.
bit pos is 25, acc decrease is 3.933906555175781e-06.
bit pos is 26, acc decrease is -2.568960189819336e-05.
bit pos is 27, acc decrease is 6.794929504394531e-06.
bit pos is 28, acc decrease is -3.5881996154785156e-05.
bit pos is 29, acc decrease is -2.9802322387695312e-05.
bit pos is 30, acc decrease is -2.3484230041503906e-05.
bit pos is 31, acc decrease is -1.3947486877441406e-05.
bit pos is 32, acc decrease is 0.00010120868682861328.
bit pos is 33, acc decrease is 9.113550186157227e-05.
bit pos is 34, acc decrease is 0.00021272897720336914.
bit pos is 35, acc decrease is 0.0004958510398864746.
bit pos is 36, acc decrease is 7.152557373046875e-07.
bit pos is 37, acc decrease is -8.761882781982422e-06.
bit pos is 38, acc decrease is -3.0159950256347656e-05.
bit pos is 39, acc decrease is -6.014108657836914e-05.
bit pos is 40, acc decrease is 0.00013977289199829102.
bit pos is 41, acc decrease is 0.0004571676254272461.
bit pos is 42, acc decrease is 0.0027347803115844727.
bit pos is 43, acc decrease is 0.008477568626403809.
bit pos is 44, acc decrease is 0.020265579223632812.
bit pos is 45, acc decrease is 0.02878659963607788.
bit pos is 46, acc decrease is -3.844499588012695e-05.
bit pos is 47, acc decrease is -4.1425228118896484e-05.
bit pos is 48, acc decrease is 4.690885543823242e-05.
bit pos is 49, acc decrease is -1.9073486328125e-05.
bit pos is 50, acc decrease is -6.711483001708984e-05.
bit pos is 51, acc decrease is 0.0010432004928588867.
bit pos is 52, acc decrease is 0.010161399841308594.
bit pos is 53, acc decrease is 0.02890843152999878.
bit pos is 54, acc decrease is 1.806020736694336e-05.
bit pos is 55, acc decrease is -3.4749507904052734e-05.
bit pos is 56, acc decrease is 1.0907649993896484e-05.
bit pos is 57, acc decrease is 2.4259090423583984e-05.
bit pos is 58, acc decrease is 1.1801719665527344e-05.
bit pos is 59, acc decrease is 1.8656253814697266e-05.
bit pos is 60, acc decrease is 4.589557647705078e-06.
bit pos is 61, acc decrease is -4.166364669799805e-05.
bit pos is 62, acc decrease is -3.4570693969726562e-06.
bit pos is 63, acc decrease is 7.987022399902344e-06.
bit pos is 64, acc decrease is -2.86102294921875e-06.
bit pos is 65, acc decrease is -6.735324859619141e-06.
bit pos is 66, acc decrease is -5.7220458984375e-06.
bit pos is 67, acc decrease is -3.6954879760742188e-06.
bit pos is 68, acc decrease is -6.556510925292969e-07.
bit pos is 69, acc decrease is -5.364418029785156e-07.
bit pos is 70, acc decrease is -1.3709068298339844e-06.
bit pos is 71, acc decrease is 1.1920928955078125e-06.
bit pos is 72, acc decrease is 5.364418029785156e-06.
bit pos is 73, acc decrease is -6.198883056640625e-06.
bit pos is 74, acc decrease is -5.543231964111328e-06.
bit pos is 75, acc decrease is -5.781650543212891e-06.
bit pos is 76, acc decrease is -4.947185516357422e-06.
bit pos is 77, acc decrease is -8.821487426757812e-06.
bit pos is 78, acc decrease is 3.3974647521972656e-06.
bit pos is 79, acc decrease is 1.1920928955078125e-07.
bit pos is 80, acc decrease is -2.6226043701171875e-06.
bit pos is 81, acc decrease is 2.1457672119140625e-06.
bit pos is 82, acc decrease is 1.7881393432617188e-07.
bit pos is 83, acc decrease is 2.086162567138672e-06.
bit pos is 84, acc decrease is 2.86102294921875e-06.
bit pos is 85, acc decrease is 5.662441253662109e-06.
bit pos is 86, acc decrease is -2.0265579223632812e-06.
bit pos is 87, acc decrease is -2.6226043701171875e-06.
bit pos is 88, acc decrease is -1.9073486328125e-06.
bit pos is 89, acc decrease is -4.410743713378906e-06.
bit pos is 90, acc decrease is 4.172325134277344e-07.
bit pos is 91, acc decrease is -1.4901161193847656e-06.
bit pos is 92, acc decrease is -8.940696716308594e-07.
bit pos is 93, acc decrease is -2.6226043701171875e-06.
bit pos is 94, acc decrease is -2.86102294921875e-06.
bit pos is 95, acc decrease is -2.384185791015625e-06.
bit pos is 96, acc decrease is 8.124113082885742e-05.
bit pos is 97, acc decrease is 2.0205974578857422e-05.
bit pos is 98, acc decrease is 0.00019466876983642578.
bit pos is 99, acc decrease is 0.0004909634590148926.
bit pos is 100, acc decrease is -4.094839096069336e-05.
bit pos is 101, acc decrease is -1.1861324310302734e-05.
bit pos is 102, acc decrease is -6.639957427978516e-05.
bit pos is 103, acc decrease is -4.887580871582031e-05.
bit pos is 104, acc decrease is 2.568960189819336e-05.
bit pos is 105, acc decrease is 1.5974044799804688e-05.
