initial acc is 0.6370961666107178
bit pos is 0, acc decrease is 0.00022101402282714844.
bit pos is 1, acc decrease is 0.0002818107604980469.
bit pos is 2, acc decrease is 0.00014257431030273438.
bit pos is 3, acc decrease is 0.0003261566162109375.
bit pos is 4, acc decrease is 0.0010099411010742188.
bit pos is 5, acc decrease is 0.0031473636627197266.
bit pos is 6, acc decrease is 0.007214546203613281.
bit pos is 7, acc decrease is 0.013393640518188477.
bit pos is 8, acc decrease is 0.021652936935424805.
bit pos is 9, acc decrease is 0.01693439483642578.
bit pos is 10, acc decrease is -2.6226043701171875e-05.
bit pos is 11, acc decrease is 0.00016832351684570312.
bit pos is 12, acc decrease is 0.00023126602172851562.
bit pos is 13, acc decrease is 6.222724914550781e-05.
bit pos is 14, acc decrease is 4.2438507080078125e-05.
bit pos is 15, acc decrease is 0.00017642974853515625.
bit pos is 16, acc decrease is 0.0006575584411621094.
bit pos is 17, acc decrease is 0.00069427490234375.
bit pos is 18, acc decrease is 0.0004317760467529297.
bit pos is 19, acc decrease is 0.0010573863983154297.
bit pos is 20, acc decrease is 0.0012445449829101562.
bit pos is 21, acc decrease is 4.291534423828125e-06.
bit pos is 22, acc decrease is 1.1920928955078125e-05.
bit pos is 23, acc decrease is -2.0265579223632812e-05.
bit pos is 24, acc decrease is 8.463859558105469e-05.
bit pos is 25, acc decrease is 0.00020003318786621094.
bit pos is 26, acc decrease is 0.0004856586456298828.
bit pos is 27, acc decrease is 0.0014362335205078125.
bit pos is 28, acc decrease is 0.0022742748260498047.
bit pos is 29, acc decrease is 0.002073049545288086.
bit pos is 30, acc decrease is 0.002221822738647461.
bit pos is 31, acc decrease is -2.4080276489257812e-05.
bit pos is 32, acc decrease is 0.03932023048400879.
bit pos is 33, acc decrease is 0.0004227161407470703.
bit pos is 34, acc decrease is 0.000751495361328125.
bit pos is 35, acc decrease is 0.0001800060272216797.
bit pos is 36, acc decrease is 0.00106048583984375.
bit pos is 37, acc decrease is 0.004277944564819336.
bit pos is 38, acc decrease is 0.007471323013305664.
bit pos is 39, acc decrease is 0.024513959884643555.
bit pos is 40, acc decrease is 0.07138514518737793.
bit pos is 41, acc decrease is 0.047463417053222656.
bit pos is 42, acc decrease is 0.04868435859680176.
bit pos is 43, acc decrease is 0.00013303756713867188.
bit pos is 44, acc decrease is 0.00011944770812988281.
bit pos is 45, acc decrease is 0.0006308555603027344.
bit pos is 46, acc decrease is 0.00020170211791992188.
bit pos is 47, acc decrease is 0.003464937210083008.
bit pos is 48, acc decrease is 0.017230749130249023.
bit pos is 49, acc decrease is 0.04606294631958008.
bit pos is 50, acc decrease is 0.05073285102844238.
bit pos is 51, acc decrease is 0.0006334781646728516.
bit pos is 52, acc decrease is 0.0020720958709716797.
bit pos is 53, acc decrease is 0.004278659820556641.
bit pos is 54, acc decrease is -1.4543533325195312e-05.
bit pos is 55, acc decrease is -3.147125244140625e-05.
bit pos is 56, acc decrease is 5.1021575927734375e-05.
bit pos is 57, acc decrease is 0.00025153160095214844.
bit pos is 58, acc decrease is 0.002158641815185547.
bit pos is 59, acc decrease is 0.0010395050048828125.
bit pos is 60, acc decrease is 0.0048444271087646484.
bit pos is 61, acc decrease is 0.010354995727539062.
bit pos is 62, acc decrease is 0.0038094520568847656.
bit pos is 63, acc decrease is 0.007005453109741211.
bit pos is 64, acc decrease is 2.5510787963867188e-05.
bit pos is 65, acc decrease is 1.0967254638671875e-05.
bit pos is 66, acc decrease is 1.0728836059570312e-05.
bit pos is 67, acc decrease is -1.430511474609375e-06.
bit pos is 68, acc decrease is 5.4836273193359375e-06.
bit pos is 69, acc decrease is -3.5762786865234375e-06.
bit pos is 70, acc decrease is 5.7220458984375e-06.
bit pos is 71, acc decrease is 5.0067901611328125e-06.
bit pos is 72, acc decrease is 1.71661376953125e-05.
bit pos is 73, acc decrease is -1.7642974853515625e-05.
bit pos is 74, acc decrease is 6.4373016357421875e-06.
bit pos is 75, acc decrease is 7.152557373046875e-07.
bit pos is 76, acc decrease is -1.5735626220703125e-05.
bit pos is 77, acc decrease is 2.86102294921875e-06.
bit pos is 78, acc decrease is -5.0067901611328125e-06.
bit pos is 79, acc decrease is -4.76837158203125e-07.
bit pos is 80, acc decrease is -5.0067901611328125e-06.
bit pos is 81, acc decrease is -8.58306884765625e-06.
bit pos is 82, acc decrease is -5.0067901611328125e-06.
bit pos is 83, acc decrease is -4.0531158447265625e-06.
bit pos is 84, acc decrease is 1.0728836059570312e-05.
bit pos is 85, acc decrease is 7.152557373046875e-07.
bit pos is 86, acc decrease is 7.867813110351562e-06.
bit pos is 87, acc decrease is 5.0067901611328125e-06.
bit pos is 88, acc decrease is 2.1457672119140625e-06.
bit pos is 89, acc decrease is 8.106231689453125e-06.
bit pos is 90, acc decrease is -1.52587890625e-05.
bit pos is 91, acc decrease is 1.0967254638671875e-05.
bit pos is 92, acc decrease is 1.0728836059570312e-05.
bit pos is 93, acc decrease is 1.9073486328125e-06.
bit pos is 94, acc decrease is -2.384185791015625e-07.
bit pos is 95, acc decrease is -1.239776611328125e-05.
bit pos is 96, acc decrease is 0.03935861587524414.
bit pos is 97, acc decrease is 0.0004253387451171875.
bit pos is 98, acc decrease is 0.0008034706115722656.
bit pos is 99, acc decrease is 5.626678466796875e-05.
bit pos is 100, acc decrease is 0.0001342296600341797.
bit pos is 101, acc decrease is 0.0009839534759521484.
bit pos is 102, acc decrease is 0.0036382675170898438.
bit pos is 103, acc decrease is 0.010463237762451172.
bit pos is 104, acc decrease is 0.021986007690429688.
bit pos is 105, acc decrease is 0.04774928092956543.
bit pos is 106, acc decrease is 0.047754526138305664.
bit pos is 107, acc decrease is 6.508827209472656e-05.
bit pos is 108, acc decrease is 0.00028634071350097656.
bit pos is 109, acc decrease is 0.0004794597625732422.
bit pos is 110, acc decrease is 4.267692565917969e-05.
bit pos is 111, acc decrease is 6.771087646484375e-05.
bit pos is 112, acc decrease is 0.00010752677917480469.
bit pos is 113, acc decrease is 0.0009582042694091797.
bit pos is 114, acc decrease is 0.0019023418426513672.
bit pos is 115, acc decrease is 0.00025153160095214844.
bit pos is 116, acc decrease is 0.0019757747650146484.
bit pos is 117, acc decrease is 0.0036268234252929688.
bit pos is 118, acc decrease is -2.193450927734375e-05.
bit pos is 119, acc decrease is -1.33514404296875e-05.
bit pos is 120, acc decrease is -1.6689300537109375e-05.
bit pos is 121, acc decrease is 4.0531158447265625e-05.
bit pos is 122, acc decrease is 9.34600830078125e-05.
bit pos is 123, acc decrease is 0.0004138946533203125.
bit pos is 124, acc decrease is 0.0023348331451416016.
bit pos is 125, acc decrease is 0.00492548942565918.
bit pos is 126, acc decrease is 0.0038335323333740234.
bit pos is 127, acc decrease is 0.006936311721801758.
