initial acc is 0.5140133500099182
bit pos is 0, acc decrease is 2.205371856689453e-06.
bit pos is 1, acc decrease is 0.0.
bit pos is 2, acc decrease is 7.152557373046875e-07.
bit pos is 3, acc decrease is -8.940696716308594e-07.
bit pos is 4, acc decrease is -5.960464477539063e-08.
bit pos is 5, acc decrease is -4.172325134277344e-07.
bit pos is 6, acc decrease is 8.940696716308594e-07.
bit pos is 7, acc decrease is 1.0132789611816406e-06.
bit pos is 8, acc decrease is -1.1920928955078125e-07.
bit pos is 9, acc decrease is -3.5762786865234375e-07.
bit pos is 10, acc decrease is 0.0.
bit pos is 11, acc decrease is 5.960464477539063e-08.
bit pos is 12, acc decrease is -4.76837158203125e-07.
bit pos is 13, acc decrease is 1.7881393432617188e-07.
bit pos is 14, acc decrease is 1.1920928955078125e-07.
bit pos is 15, acc decrease is 5.960464477539063e-08.
bit pos is 16, acc decrease is 0.0.
bit pos is 17, acc decrease is 1.0132789611816406e-06.
bit pos is 18, acc decrease is -2.384185791015625e-07.
bit pos is 19, acc decrease is -5.960464477539062e-07.
bit pos is 20, acc decrease is 6.556510925292969e-07.
bit pos is 21, acc decrease is -2.384185791015625e-07.
bit pos is 22, acc decrease is -1.0132789611816406e-06.
bit pos is 23, acc decrease is 4.76837158203125e-07.
bit pos is 24, acc decrease is 5.364418029785156e-07.
bit pos is 25, acc decrease is -5.960464477539063e-08.
bit pos is 26, acc decrease is -1.2516975402832031e-06.
bit pos is 27, acc decrease is 8.344650268554688e-07.
bit pos is 28, acc decrease is 1.7285346984863281e-06.
bit pos is 29, acc decrease is -3.5762786865234375e-07.
bit pos is 30, acc decrease is -8.344650268554688e-07.
bit pos is 31, acc decrease is -1.1920928955078125e-07.
bit pos is 32, acc decrease is 0.013769328594207764.
bit pos is 33, acc decrease is -8.344650268554688e-07.
bit pos is 34, acc decrease is 4.649162292480469e-06.
bit pos is 35, acc decrease is 1.6093254089355469e-06.
bit pos is 36, acc decrease is 4.351139068603516e-06.
bit pos is 37, acc decrease is 1.7881393432617188e-06.
bit pos is 38, acc decrease is -1.436471939086914e-05.
bit pos is 39, acc decrease is 5.424022674560547e-06.
bit pos is 40, acc decrease is 0.013963460922241211.
bit pos is 41, acc decrease is -5.960464477539063e-08.
bit pos is 42, acc decrease is 2.0265579223632812e-06.
bit pos is 43, acc decrease is 1.1920928955078125e-07.
bit pos is 44, acc decrease is 4.172325134277344e-07.
bit pos is 45, acc decrease is -2.6226043701171875e-06.
bit pos is 46, acc decrease is 8.940696716308594e-07.
