test bst, diff pos is (47, 55).
initial acc is 0.7003252506256104.
bit pos is 0, acc decrease is 0.0006062984466552734.
bit pos is 1, acc decrease is 0.0007548332214355469.
bit pos is 2, acc decrease is 0.0008382797241210938.
bit pos is 3, acc decrease is 0.0011425018310546875.
bit pos is 4, acc decrease is 0.0007774829864501953.
bit pos is 5, acc decrease is 0.0003705024719238281.
bit pos is 6, acc decrease is 0.0006117820739746094.
bit pos is 7, acc decrease is 0.001131296157836914.
bit pos is 8, acc decrease is 0.001516103744506836.
bit pos is 9, acc decrease is 0.0014047622680664062.
bit pos is 10, acc decrease is 0.002269268035888672.
bit pos is 11, acc decrease is 0.004725456237792969.
bit pos is 12, acc decrease is 0.004527568817138672.
bit pos is 13, acc decrease is 0.00042366981506347656.
bit pos is 14, acc decrease is 0.0011899471282958984.
bit pos is 15, acc decrease is 0.0033342838287353516.
bit pos is 16, acc decrease is 0.009498357772827148.
bit pos is 17, acc decrease is 0.01820683479309082.
bit pos is 18, acc decrease is 0.02276158332824707.
bit pos is 19, acc decrease is 0.01985764503479004.
bit pos is 20, acc decrease is 0.013837337493896484.
bit pos is 21, acc decrease is 0.0014362335205078125.
bit pos is 22, acc decrease is 0.000274658203125.
bit pos is 23, acc decrease is 0.00015783309936523438.
bit pos is 24, acc decrease is 3.552436828613281e-05.
bit pos is 25, acc decrease is 0.0002624988555908203.
bit pos is 26, acc decrease is 0.0005075931549072266.
bit pos is 27, acc decrease is 0.002507448196411133.
bit pos is 28, acc decrease is 0.003201007843017578.
bit pos is 29, acc decrease is 0.0014629364013671875.
bit pos is 30, acc decrease is 0.0003612041473388672.
bit pos is 31, acc decrease is 0.00010585784912109375.
bit pos is 32, acc decrease is 6.9141387939453125e-06.
bit pos is 33, acc decrease is -1.3828277587890625e-05.
bit pos is 34, acc decrease is 2.384185791015625e-06.
bit pos is 35, acc decrease is -7.152557373046875e-07.
bit pos is 36, acc decrease is 1.2874603271484375e-05.
bit pos is 37, acc decrease is 1.5735626220703125e-05.
bit pos is 38, acc decrease is -1.2159347534179688e-05.
bit pos is 39, acc decrease is -1.0967254638671875e-05.
bit pos is 40, acc decrease is -7.152557373046875e-06.
bit pos is 41, acc decrease is 8.58306884765625e-06.
bit pos is 42, acc decrease is -5.0067901611328125e-06.
bit pos is 43, acc decrease is -1.0967254638671875e-05.
bit pos is 44, acc decrease is 1.4066696166992188e-05.
bit pos is 45, acc decrease is 4.291534423828125e-06.
bit pos is 46, acc decrease is 2.6226043701171875e-06.
bit pos is 47, acc decrease is 9.5367431640625e-07.
bit pos is 48, acc decrease is 0.0025260448455810547.
bit pos is 49, acc decrease is 0.003808259963989258.
bit pos is 50, acc decrease is 0.003168344497680664.
bit pos is 51, acc decrease is 0.002523183822631836.
bit pos is 52, acc decrease is 0.003945827484130859.
bit pos is 53, acc decrease is 0.003130197525024414.
bit pos is 54, acc decrease is 0.0008575916290283203.
bit pos is 55, acc decrease is 0.0013759136199951172.
bit pos is 56, acc decrease is 0.0025131702423095703.
bit pos is 57, acc decrease is 0.004057645797729492.
bit pos is 58, acc decrease is 0.004281044006347656.
bit pos is 59, acc decrease is 0.008406400680541992.
bit pos is 60, acc decrease is 0.018186092376708984.
bit pos is 61, acc decrease is 0.023749351501464844.
bit pos is 62, acc decrease is 0.0012187957763671875.
bit pos is 63, acc decrease is 0.002856731414794922.
bit pos is 64, acc decrease is 0.008067131042480469.
bit pos is 65, acc decrease is 0.024240732192993164.
bit pos is 66, acc decrease is 0.05049848556518555.
bit pos is 67, acc decrease is 0.07119965553283691.
bit pos is 68, acc decrease is 0.07701730728149414.
bit pos is 69, acc decrease is 0.07474470138549805.
bit pos is 70, acc decrease is 0.007622957229614258.
bit pos is 71, acc decrease is 0.002584695816040039.
bit pos is 72, acc decrease is 0.004735708236694336.
bit pos is 73, acc decrease is 0.015161991119384766.
bit pos is 74, acc decrease is 0.046585798263549805.
bit pos is 75, acc decrease is 0.06986689567565918.
bit pos is 76, acc decrease is 0.07618975639343262.
bit pos is 77, acc decrease is 0.06785392761230469.
bit pos is 78, acc decrease is 0.0011005401611328125.
bit pos is 79, acc decrease is 0.00032639503479003906.
bit pos is 80, acc decrease is 0.00013518333435058594.
bit pos is 81, acc decrease is -1.3589859008789062e-05.
bit pos is 82, acc decrease is 0.00026106834411621094.
bit pos is 83, acc decrease is 0.0015249252319335938.
bit pos is 84, acc decrease is 0.007004976272583008.
bit pos is 85, acc decrease is 0.014430999755859375.
