test bst, diff pos is (47, 55).
initial acc is 0.5313246250152588.
bit pos is 0, acc decrease is 3.790855407714844e-05.
bit pos is 1, acc decrease is -1.3589859008789062e-05.
bit pos is 2, acc decrease is 0.00015234947204589844.
bit pos is 3, acc decrease is -2.4080276489257812e-05.
bit pos is 4, acc decrease is 5.3882598876953125e-05.
bit pos is 5, acc decrease is -1.52587890625e-05.
bit pos is 6, acc decrease is 9.250640869140625e-05.
bit pos is 7, acc decrease is 0.0005574226379394531.
bit pos is 8, acc decrease is 0.0011055469512939453.
bit pos is 9, acc decrease is 0.0011866092681884766.
bit pos is 10, acc decrease is 0.0008335113525390625.
bit pos is 11, acc decrease is 0.0010538101196289062.
bit pos is 12, acc decrease is 0.0009768009185791016.
bit pos is 13, acc decrease is 0.00021958351135253906.
bit pos is 14, acc decrease is 0.00021529197692871094.
bit pos is 15, acc decrease is 8.368492126464844e-05.
bit pos is 16, acc decrease is 0.0001952648162841797.
bit pos is 17, acc decrease is 0.0008051395416259766.
bit pos is 18, acc decrease is 0.0024297237396240234.
bit pos is 19, acc decrease is 0.004743099212646484.
bit pos is 20, acc decrease is 0.0044744014739990234.
bit pos is 21, acc decrease is 0.0003440380096435547.
bit pos is 22, acc decrease is 0.0002884864807128906.
bit pos is 23, acc decrease is 8.320808410644531e-05.
bit pos is 24, acc decrease is -5.245208740234375e-06.
bit pos is 25, acc decrease is 2.765655517578125e-05.
bit pos is 26, acc decrease is -3.9577484130859375e-05.
bit pos is 27, acc decrease is 6.0558319091796875e-05.
bit pos is 28, acc decrease is 6.914138793945312e-05.
bit pos is 29, acc decrease is 5.2928924560546875e-05.
bit pos is 30, acc decrease is 3.3855438232421875e-05.
bit pos is 31, acc decrease is 3.695487976074219e-05.
bit pos is 32, acc decrease is 8.58306884765625e-06.
bit pos is 33, acc decrease is -1.33514404296875e-05.
bit pos is 34, acc decrease is 1.1682510375976562e-05.
bit pos is 35, acc decrease is 1.6450881958007812e-05.
bit pos is 36, acc decrease is -1.7404556274414062e-05.
bit pos is 37, acc decrease is -7.152557373046875e-07.
bit pos is 38, acc decrease is 4.76837158203125e-07.
bit pos is 39, acc decrease is -1.3589859008789062e-05.
bit pos is 40, acc decrease is -2.5033950805664062e-05.
bit pos is 41, acc decrease is 1.430511474609375e-06.
bit pos is 42, acc decrease is -2.6702880859375e-05.
bit pos is 43, acc decrease is 9.5367431640625e-06.
bit pos is 44, acc decrease is 7.152557373046875e-07.
bit pos is 45, acc decrease is -5.0067901611328125e-06.
bit pos is 46, acc decrease is 7.62939453125e-06.
bit pos is 47, acc decrease is 4.76837158203125e-06.
bit pos is 48, acc decrease is 0.00014495849609375.
bit pos is 49, acc decrease is 0.0004222393035888672.
bit pos is 50, acc decrease is 2.3603439331054688e-05.
bit pos is 51, acc decrease is 0.0002665519714355469.
bit pos is 52, acc decrease is 0.00027751922607421875.
bit pos is 53, acc decrease is 1.239776611328125e-05.
bit pos is 54, acc decrease is 3.5762786865234375e-05.
bit pos is 55, acc decrease is 0.00040221214294433594.
bit pos is 56, acc decrease is 0.0010595321655273438.
bit pos is 57, acc decrease is 0.0022482872009277344.
bit pos is 58, acc decrease is 0.0031871795654296875.
bit pos is 59, acc decrease is 0.002707242965698242.
bit pos is 60, acc decrease is 0.0037844181060791016.
bit pos is 61, acc decrease is 0.003765106201171875.
bit pos is 62, acc decrease is 0.0016205310821533203.
bit pos is 63, acc decrease is 0.0008394718170166016.
bit pos is 64, acc decrease is 0.0007765293121337891.
bit pos is 65, acc decrease is 0.0006871223449707031.
bit pos is 66, acc decrease is 0.0019059181213378906.
bit pos is 67, acc decrease is 0.00748443603515625.
bit pos is 68, acc decrease is 0.017383098602294922.
bit pos is 69, acc decrease is 0.019958019256591797.
bit pos is 70, acc decrease is 0.00044727325439453125.
bit pos is 71, acc decrease is 0.00020813941955566406.
bit pos is 72, acc decrease is 3.8623809814453125e-05.
bit pos is 73, acc decrease is 6.175041198730469e-05.
bit pos is 74, acc decrease is 0.00040721893310546875.
bit pos is 75, acc decrease is 0.0033721923828125.
bit pos is 76, acc decrease is 0.012790679931640625.
bit pos is 77, acc decrease is 0.017893075942993164.
bit pos is 78, acc decrease is 0.0012505054473876953.
bit pos is 79, acc decrease is 0.0009472370147705078.
bit pos is 80, acc decrease is 0.0006461143493652344.
bit pos is 81, acc decrease is -4.291534423828125e-05.
bit pos is 82, acc decrease is -2.9087066650390625e-05.
bit pos is 83, acc decrease is 0.00011944770812988281.
bit pos is 84, acc decrease is -0.0001049041748046875.
bit pos is 85, acc decrease is 3.814697265625e-06.
bit pos is 86, acc decrease is -8.797645568847656e-05.
bit pos is 87, acc decrease is -8.106231689453125e-06.
bit pos is 88, acc decrease is -1.6927719116210938e-05.
bit pos is 89, acc decrease is -4.220008850097656e-05.
