test bst, diff pos is 47.
initial acc is 0.539792537689209.
bit pos is 0, acc decrease is 0.00016069412231445312.
bit pos is 1, acc decrease is 0.00012683868408203125.
bit pos is 2, acc decrease is 4.863739013671875e-05.
bit pos is 3, acc decrease is 0.00019478797912597656.
bit pos is 4, acc decrease is 0.0006947517395019531.
bit pos is 5, acc decrease is 0.0012710094451904297.
bit pos is 6, acc decrease is 0.0017440319061279297.
bit pos is 7, acc decrease is 0.0019040107727050781.
bit pos is 8, acc decrease is 0.0023827552795410156.
bit pos is 9, acc decrease is 0.0018095970153808594.
bit pos is 10, acc decrease is 0.0010590553283691406.
bit pos is 11, acc decrease is 0.0005831718444824219.
bit pos is 12, acc decrease is 0.0005066394805908203.
bit pos is 13, acc decrease is 0.0004470348358154297.
bit pos is 14, acc decrease is 0.0014986991882324219.
bit pos is 15, acc decrease is 0.004820823669433594.
bit pos is 16, acc decrease is 0.009413003921508789.
bit pos is 17, acc decrease is 0.008972883224487305.
bit pos is 18, acc decrease is 0.0009829998016357422.
bit pos is 19, acc decrease is 0.0008368492126464844.
bit pos is 20, acc decrease is 0.00047206878662109375.
bit pos is 21, acc decrease is 4.100799560546875e-05.
bit pos is 22, acc decrease is 4.00543212890625e-05.
bit pos is 23, acc decrease is 4.1484832763671875e-05.
bit pos is 24, acc decrease is 4.506111145019531e-05.
bit pos is 25, acc decrease is -7.605552673339844e-05.
bit pos is 26, acc decrease is 3.9577484130859375e-05.
bit pos is 27, acc decrease is 2.7894973754882812e-05.
bit pos is 28, acc decrease is 4.1961669921875e-05.
bit pos is 29, acc decrease is 5.5789947509765625e-05.
bit pos is 30, acc decrease is -3.814697265625e-06.
bit pos is 31, acc decrease is 2.384185791015625e-05.
bit pos is 32, acc decrease is 1.9073486328125e-05.
bit pos is 33, acc decrease is 5.340576171875e-05.
bit pos is 34, acc decrease is 0.00010037422180175781.
bit pos is 35, acc decrease is -2.6226043701171875e-05.
bit pos is 36, acc decrease is -7.867813110351562e-06.
bit pos is 37, acc decrease is -4.124641418457031e-05.
bit pos is 38, acc decrease is 1.430511474609375e-06.
bit pos is 39, acc decrease is 1.6450881958007812e-05.
bit pos is 40, acc decrease is 5.817413330078125e-05.
bit pos is 41, acc decrease is 5.602836608886719e-05.
bit pos is 42, acc decrease is -3.600120544433594e-05.
bit pos is 43, acc decrease is 4.5299530029296875e-06.
bit pos is 44, acc decrease is 4.1961669921875e-05.
bit pos is 45, acc decrease is -1.9073486328125e-06.
bit pos is 46, acc decrease is -2.6702880859375e-05.
bit pos is 47, acc decrease is 8.58306884765625e-06.
bit pos is 48, acc decrease is 3.6716461181640625e-05.
bit pos is 49, acc decrease is 0.00018930435180664062.
bit pos is 50, acc decrease is 0.0003485679626464844.
bit pos is 51, acc decrease is 0.00010442733764648438.
bit pos is 52, acc decrease is 0.00048542022705078125.
bit pos is 53, acc decrease is 0.0010941028594970703.
bit pos is 54, acc decrease is 0.0027420520782470703.
bit pos is 55, acc decrease is 0.0040035247802734375.
bit pos is 56, acc decrease is 0.0039484500885009766.
bit pos is 57, acc decrease is 0.005733966827392578.
bit pos is 58, acc decrease is 0.0049092769622802734.
bit pos is 59, acc decrease is 0.0022428035736083984.
bit pos is 60, acc decrease is 0.00162506103515625.
bit pos is 61, acc decrease is 0.0014414787292480469.
bit pos is 62, acc decrease is 0.0011174678802490234.
bit pos is 63, acc decrease is 0.003050088882446289.
bit pos is 64, acc decrease is 0.010569095611572266.
bit pos is 65, acc decrease is 0.022291898727416992.
bit pos is 66, acc decrease is 0.024819612503051758.
bit pos is 67, acc decrease is 0.0008103847503662109.
bit pos is 68, acc decrease is 0.0007624626159667969.
bit pos is 69, acc decrease is 0.0003523826599121094.
bit pos is 70, acc decrease is -2.7179718017578125e-05.
bit pos is 71, acc decrease is 0.0004024505615234375.
bit pos is 72, acc decrease is 0.0038411617279052734.
bit pos is 73, acc decrease is 0.01664423942565918.
bit pos is 74, acc decrease is 0.0226743221282959.
bit pos is 75, acc decrease is 0.002126932144165039.
bit pos is 76, acc decrease is 0.0016355514526367188.
bit pos is 77, acc decrease is 0.0011513233184814453.
bit pos is 78, acc decrease is -1.0013580322265625e-05.
bit pos is 79, acc decrease is 3.9577484130859375e-05.
bit pos is 80, acc decrease is 6.198883056640625e-05.
bit pos is 81, acc decrease is -3.337860107421875e-05.
bit pos is 82, acc decrease is 0.00013136863708496094.
bit pos is 83, acc decrease is 4.982948303222656e-05.
bit pos is 84, acc decrease is -1.1920928955078125e-05.
bit pos is 85, acc decrease is 5.221366882324219e-05.
bit pos is 86, acc decrease is 0.00013375282287597656.
bit pos is 87, acc decrease is -1.1205673217773438e-05.
bit pos is 88, acc decrease is 0.00010991096496582031.
bit pos is 89, acc decrease is 6.127357482910156e-05.
bit pos is 90, acc decrease is 1.5735626220703125e-05.
bit pos is 91, acc decrease is 4.863739013671875e-05.
bit pos is 92, acc decrease is 3.6716461181640625e-05.
bit pos is 93, acc decrease is 9.72747802734375e-05.
bit pos is 94, acc decrease is 3.62396240234375e-05.
bit pos is 95, acc decrease is 7.3909759521484375e-06.
bit pos is 96, acc decrease is -2.1457672119140625e-05.
bit pos is 97, acc decrease is 0.0.
bit pos is 98, acc decrease is -1.9788742065429688e-05.
bit pos is 99, acc decrease is -3.0994415283203125e-06.
bit pos is 100, acc decrease is 4.76837158203125e-06.
bit pos is 101, acc decrease is 1.2159347534179688e-05.
bit pos is 102, acc decrease is 2.5033950805664062e-05.
bit pos is 103, acc decrease is 4.76837158203125e-06.
bit pos is 104, acc decrease is 2.0265579223632812e-05.
bit pos is 105, acc decrease is 5.7220458984375e-06.
bit pos is 106, acc decrease is 2.3603439331054688e-05.
bit pos is 107, acc decrease is 2.5033950805664062e-05.
bit pos is 108, acc decrease is -7.62939453125e-06.
bit pos is 109, acc decrease is 0.0.
bit pos is 110, acc decrease is 1.2636184692382812e-05.
bit pos is 111, acc decrease is -1.9311904907226562e-05.
bit pos is 112, acc decrease is -1.049041748046875e-05.
bit pos is 113, acc decrease is 1.1920928955078125e-05.
bit pos is 114, acc decrease is 3.5762786865234375e-06.
bit pos is 115, acc decrease is -1.0013580322265625e-05.
bit pos is 116, acc decrease is -2.1457672119140625e-06.
bit pos is 117, acc decrease is 9.5367431640625e-07.
bit pos is 118, acc decrease is -1.1682510375976562e-05.
bit pos is 119, acc decrease is 9.298324584960938e-06.
bit pos is 120, acc decrease is -7.867813110351562e-06.
bit pos is 121, acc decrease is 1.3589859008789062e-05.
bit pos is 122, acc decrease is 4.0531158447265625e-06.
bit pos is 123, acc decrease is -4.291534423828125e-06.
bit pos is 124, acc decrease is -4.76837158203125e-07.
bit pos is 125, acc decrease is -1.1444091796875e-05.
bit pos is 126, acc decrease is -4.5299530029296875e-06.
bit pos is 127, acc decrease is 1.6689300537109375e-06.
bit pos is 128, acc decrease is -6.4373016357421875e-06.
bit pos is 129, acc decrease is -2.6226043701171875e-06.
bit pos is 130, acc decrease is -7.62939453125e-06.
bit pos is 131, acc decrease is 1.6689300537109375e-06.
bit pos is 132, acc decrease is -1.7881393432617188e-05.
bit pos is 133, acc decrease is -1.621246337890625e-05.
bit pos is 134, acc decrease is 4.76837158203125e-07.
bit pos is 135, acc decrease is 2.86102294921875e-06.
bit pos is 136, acc decrease is 1.7881393432617188e-05.
bit pos is 137, acc decrease is 2.6226043701171875e-06.
bit pos is 138, acc decrease is -1.4781951904296875e-05.
bit pos is 139, acc decrease is -5.245208740234375e-06.
bit pos is 140, acc decrease is -7.152557373046875e-07.
bit pos is 141, acc decrease is 8.344650268554688e-06.
bit pos is 142, acc decrease is -2.384185791015625e-06.
bit pos is 143, acc decrease is -3.5762786865234375e-06.
bit pos is 144, acc decrease is -1.7404556274414062e-05.
bit pos is 145, acc decrease is 0.00022459030151367188.
bit pos is 146, acc decrease is 0.00038051605224609375.
bit pos is 147, acc decrease is 7.891654968261719e-05.
bit pos is 148, acc decrease is 8.416175842285156e-05.
bit pos is 149, acc decrease is 0.0008208751678466797.
bit pos is 150, acc decrease is 0.0024747848510742188.
bit pos is 151, acc decrease is 0.0037293434143066406.
bit pos is 152, acc decrease is 0.0038797855377197266.
bit pos is 153, acc decrease is 0.005318880081176758.
bit pos is 154, acc decrease is 0.004492521286010742.
bit pos is 155, acc decrease is 0.0021839141845703125.
bit pos is 156, acc decrease is 0.0017163753509521484.
bit pos is 157, acc decrease is 0.0009706020355224609.
bit pos is 158, acc decrease is 0.0003414154052734375.
bit pos is 159, acc decrease is 0.0009005069732666016.
bit pos is 160, acc decrease is 0.005712985992431641.
bit pos is 161, acc decrease is 0.01828479766845703.
bit pos is 162, acc decrease is 0.02295088768005371.
bit pos is 163, acc decrease is 0.002313375473022461.
bit pos is 164, acc decrease is 0.001676321029663086.
bit pos is 165, acc decrease is 0.001184225082397461.
bit pos is 166, acc decrease is 2.6464462280273438e-05.
bit pos is 167, acc decrease is 4.0531158447265625e-06.
bit pos is 168, acc decrease is 1.5735626220703125e-05.
bit pos is 169, acc decrease is -3.8623809814453125e-05.
bit pos is 170, acc decrease is 1.6689300537109375e-05.
bit pos is 171, acc decrease is 3.0994415283203125e-06.
bit pos is 172, acc decrease is 0.00014638900756835938.
bit pos is 173, acc decrease is 0.0001266002655029297.
bit pos is 174, acc decrease is -3.409385681152344e-05.
bit pos is 175, acc decrease is 2.4557113647460938e-05.
bit pos is 176, acc decrease is 5.817413330078125e-05.
bit pos is 177, acc decrease is 4.744529724121094e-05.
bit pos is 178, acc decrease is 4.553794860839844e-05.
bit pos is 179, acc decrease is 1.9073486328125e-06.
bit pos is 180, acc decrease is -2.8848648071289062e-05.
bit pos is 181, acc decrease is 2.002716064453125e-05.
bit pos is 182, acc decrease is 6.556510925292969e-05.
bit pos is 183, acc decrease is 3.814697265625e-06.
bit pos is 184, acc decrease is -1.3589859008789062e-05.
bit pos is 185, acc decrease is -3.24249267578125e-05.
bit pos is 186, acc decrease is -2.4080276489257812e-05.
bit pos is 187, acc decrease is -1.9550323486328125e-05.
bit pos is 188, acc decrease is -4.5299530029296875e-06.
bit pos is 189, acc decrease is 3.3855438232421875e-05.
bit pos is 190, acc decrease is 4.935264587402344e-05.
bit pos is 191, acc decrease is -4.76837158203125e-07.
